Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
GOLDCASE.NS,XNSE:GOLDCASE,ZERODHAAMC-GOLDCASE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDETF.NS,XNSE:GOLDETF,MIRAEAMC-MAGOLDETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDIETF.NS,XNSE:GOLDIETF,ICICIPrudGoldETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWCAPM.NS,XNSE:GROWWCAPM,GROWWAMC - GROWWCAPM,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWCHEM.NS,XNSE:GROWWCHEM,GROWWAMC - GROWWCHEM,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWDEFNC.NS,XNSE:GROWWDEFNC,GROWWAMC - GROWWDEFNC,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWEV.NS,XNSE:GROWWEV,GROWWAMC - GROWWEV,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWGOLD.NS,XNSE:GROWWGOLD,GROWWAMC - GROWWGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWHOSPI.NS,XNSE:GROWWHOSPI,GROWWAMC - GROWWHOSPI,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWLIQID.NS,XNSE:GROWWLIQID,GROWWAMC - GROWWLIQID,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWLOVOL.NS,XNSE:GROWWLOVOL,GROWWAMC - GROWWLOVOL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWMC150.NS,XNSE:GROWWMC150,GROWWAMC - GROWWMC150,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWMETAL.NS,XNSE:GROWWMETAL,GROWWAMC - GROWWMETAL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWMOM50.NS,XNSE:GROWWMOM50,GROWWAMC - GROWWMOM50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWN200.NS,XNSE:GROWWN200,GROWWAMC - GROWWN200,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWNET.NS,XNSE:GROWWNET,GROWWAMC - GROWWNET,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWNXT50.NS,XNSE:GROWWNXT50,GROWWAMC - GROWWNXT50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWPOWER.NS,XNSE:GROWWPOWER,GROWWAMC - GROWWPOWER,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWPSE.NS,XNSE:GROWWPSE,GROWWAMC - GROWWPSE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWPSUBK.NS,XNSE:GROWWPSUBK,GROWWAMC - GROWWPSUBK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom
GROWWRAIL.NS,XNSE:GROWWRAIL,GROWWAMC - GROWWRAIL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWRLTY.NS,XNSE:GROWWRLTY,GROWWAMC - GROWWRLTY,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWSC250.NS,XNSE:GROWWSC250,GROWWAMC - GROWWSC250,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWSLVR.NS,XNSE:GROWWSLVR,GROWWAMC - GROWWSLVR,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GSEC10ABSL.NS,XNSE:GSEC10ABSL,BIRLASLAMC - GSEC10ABSL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
