Profile,Sector,Exact_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V2,Industrials,5,9,3,33.333333333333336,-0.847810100818141,-0.8383002648075344,3,33.333333333333336,0.22658732619623453,-0.8468934394522565,4,44.44444444444444,0.33130086619943916,-0.41400738541659265
V2,Industrials,10,37,18,48.648648648648646,0.2048478822445509,-0.07106805561054585,21,56.75675675675676,1.6646132712643018,1.521923126931224,21,56.75675675675676,2.86047275434589,1.7517159164506468
V2,Industrials,15,37,18,48.648648648648646,0.3437431776765089,-0.17078871137639062,19,51.351351351351354,0.6634335757318122,0.22294079850628812,18,48.648648648648646,0.06964847294730579,-0.5148750282883419
V2,Industrials,20,33,17,51.515151515151516,-0.017220953733204144,0.19686858897480786,18,54.54545454545455,0.9353821168705249,0.08636817025260424,20,60.60606060606061,1.407618977149659,0.9527611920214119
V2,Industrials,25,8,5,62.5,0.4751309357872907,0.59025012345989,7,87.5,2.771934086369966,2.4585157266549973,3,37.5,-0.8181052503940051,-1.3499038695136356
V2,Industrials,30,4,1,25.0,-0.12273047054741082,-0.21827674270598618,3,75.0,0.7124333869696048,0.8576511687452548,4,100.0,3.293703234541956,2.842662932420692
V3,ALL,-10,1,0,0.0,-3.378788226537832,-3.378788226537832,0,0.0,-16.834623384590543,-16.834623384590543,0,0.0,-9.425020907909209,-9.425020907909209
V3,ALL,0,2,1,50.0,0.7638593470306765,0.7638593470306765,1,50.0,-3.4994694657170258,-3.4994694657170258,1,50.0,-2.045188007805282,-2.045188007805282
V3,ALL,5,12,5,41.666666666666664,-0.2727359675200954,-1.040999696258632,5,41.666666666666664,0.6728615768067435,-0.6208132811756473,5,41.666666666666664,0.5099248655105657,-0.8387612529056565
V3,ALL,10,35,18,51.42857142857143,0.7711224388293036,0.09280600846506282,22,62.857142857142854,0.8049367506523553,1.3977211541099654,18,51.42857142857143,0.516445624153978,0.18964303596904486
V3,ALL,15,25,13,52.0,-0.05156677936889855,0.10749081622904999,10,40.0,1.0391781010839858,-0.9036655427131945,11,44.0,1.855129497274423,-0.1547723993572392
V3,ALL,20,60,36,60.0,0.7173053213106627,0.3435578849832033,32,53.333333333333336,1.5454082011566643,0.5122742339097819,32,53.333333333333336,2.248717889179012,0.7991050807400479
