Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Market Region
MS$E,MS$E,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,NYSE, ,N,N,,,,USA
MS$I,MS$I,Morgan Stanley Depository Shares Representing 1/1000th Preferred Series 1 Fixed to Floating Non (Cum),NYSE, ,N,N,,,,USA
MS$K,MS$K,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock,  Series K",NYSE, ,N,N,,,,USA
MS$L,MS$L,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.875% Non-Cumulative Preferred Stock, Series L",NYSE, ,N,N,,,,USA
MS$O,MS$O,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.250% Non-Cumulative Preferred Stock, Series O",NYSE, ,N,N,,,,USA
MS$P,MS$P,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.500% Non-Cumulative Preferred Stock, Series P",NYSE, ,N,N,,,,USA
MS$Q,MS$Q,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.625% Non-Cumulative Preferred Stock, Series Q",NYSE, ,N,N,,,,USA
MSAIW,MSAIW,"MultiSensor AI Holdings, Inc. - Warrants",NASDAQ,S,N,N,,,,USA
MSBIP,MSBIP,"Midland States Bancorp, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of 7.750% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ,Q,N,N,521769041,Finance,Major Banks,USA
MSD,MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc. Common Stock",NYSE, ,N,N,0,Finance,Trusts Except Educational Religious and Charitable,USA
MSDL,MSDL,Morgan Stanley Direct Lending Fund Common Stock,NYSE, ,N,N,0,,,USA
MSIF,MSIF,"MSC Income Fund, Inc. Common Stock",NYSE, ,N,N,504238946,Finance,Finance/Investors Services,USA
MTAL-U,MTAL.U,"Metals Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",NYSE, ,N,N,,,,USA
MTAL-W,MTAL.W,"Metals Acquisition Corp. II Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",NYSE, ,N,N,,,,USA
MTB$H,MTB$H,"M&T Bank Corporation Perpetual Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series H",NYSE, ,N,N,,,,USA
MTB$J,MTB$J,"M&T Bank Corporation Depositary Shares each representing a 1/400th ownership interest in a share of Perpetual 7.500% Non-Cumulative Preferred Stock, Series J",NYSE, ,N,N,,,,USA
MTB$K,MTB$K,"M&T Bank Corporation Depositary Shares each representing a 1/400th interest in a share of Perpetual 6.350% Non-Cumulative Preferred Stock, Series K",NYSE, ,N,N,,,,USA
MTEKW,MTEKW,Maris-Tech Ltd. - Warrants,NASDAQ,S,N,N,1339380,Telecommunications,Telecommunications Equipment,USA
MTEST,MTEST,"NYSE Texas, Inc. TEST Common Stock",M, ,N,Y,,,,USA
MTNE-U,MTNE.U,"CH4 Natural Solutions Corporation Units, each consisting of one Class A ordinary share and one-half of one Warrant",NYSE, ,N,N,,,,USA
MTNE-W,MTNE.W,"CH4 Natural Solutions Corporation Warrants, each whole warrant exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share",NYSE, ,N,N,,,,USA
MUA,MUA,"Blackrock MuniAssets Fund, Inc Common Stock",NYSE, ,N,N,1587295566,Finance,Investment Bankers/Brokers/Service,USA
MUC,MUC,"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock",NYSE, ,N,N,1614072810,Finance,Investment Bankers/Brokers/Service,USA
MUJ,MUJ,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",NYSE, ,N,N,1808951647,Finance,Investment Bankers/Brokers/Service,USA
